county_fips,measure,value
45021,no_highschool_share,0.25029477
42017,no_highschool_share,0.067306221
42095,no_highschool_share,0.11332498
42127,no_highschool_share,0.12319925
45065,no_highschool_share,0.21201675
39035,no_highschool_share,0.12480555
42041,no_highschool_share,0.089237913
40145,no_highschool_share,0.11182448
40097,no_highschool_share,0.1573223
40087,no_highschool_share,0.12949702
48339,no_highschool_share,0.13692428
48029,no_highschool_share,0.17413288
48479,no_highschool_share,0.35819322
48061,no_highschool_share,0.36316469
48241,no_highschool_share,0.16692881
48361,no_highschool_share,0.1381727
48233,no_highschool_share,0.16643521
48459,no_highschool_share,0.17501594
48187,no_highschool_share,0.13968359
48277,no_highschool_share,0.16858955
48105,no_highschool_share,0.35678586
48355,no_highschool_share,0.20171775
48153,no_highschool_share,0.25351071
53035,no_highschool_share,0.063561507
53021,no_highschool_share,0.2901333
53011,no_highschool_share,0.086864173
54039,no_highschool_share,0.12112072
54007,no_highschool_share,0.22176453
55121,no_highschool_share,0.12413862
53027,no_highschool_share,0.14555937
53005,no_highschool_share,0.11542126
54033,no_highschool_share,0.13087049
54085,no_highschool_share,0.21434349
54103,no_highschool_share,0.18499112
54099,no_highschool_share,0.22295149
54011,no_highschool_share,0.13722579
55111,no_highschool_share,0.10562284
55043,no_highschool_share,0.10204017
53015,no_highschool_share,0.12564413
53075,no_highschool_share,0.037769619
54027,no_highschool_share,0.2176071
55075,no_highschool_share,0.10585459
54043,no_highschool_share,0.26103279
13271,no_highschool_share,0.26136172
13279,no_highschool_share,0.20787631
15007,no_highschool_share,0.099361666
16069,no_highschool_share,0.10047618
13301,no_highschool_share,0.26826775
13007,no_highschool_share,0.20518759
13143,no_highschool_share,0.25826839
35021,no_highschool_share,0.10242086
19041,no_highschool_share,0.068841204
1005,no_highschool_share,0.26342952
56025,no_highschool_share,0.081720218
56045,no_highschool_share,0.098481819
40013,no_highschool_share,0.16980329
20099,no_highschool_share,0.10334922
38099,no_highschool_share,0.16980894
38031,no_highschool_share,0.13585375
38097,no_highschool_share,0.094582349
38005,no_highschool_share,0.16977708
21187,no_highschool_share,0.15868506
21193,no_highschool_share,0.31046531
21049,no_highschool_share,0.17533882
16059,no_highschool_share,0.096458688
16041,no_highschool_share,0.079658024
16037,no_highschool_share,0.10372423
13221,no_highschool_share,0.21034311
47159,no_highschool_share,0.21083556
46095,no_highschool_share,0.13953489
37107,no_highschool_share,0.21021587
37017,no_highschool_share,0.25266147
37193,no_highschool_share,0.25835779
37111,no_highschool_share,0.19179848
37089,no_highschool_share,0.12454464
13137,no_highschool_share,0.22140768
37167,no_highschool_share,0.19354448
13289,no_highschool_share,0.29730165
17007,no_highschool_share,0.14186528
37175,no_highschool_share,0.11630292
37105,no_highschool_share,0.1977274
37165,no_highschool_share,0.22432193
13105,no_highschool_share,0.2167484
37139,no_highschool_share,0.1627228
13051,no_highschool_share,0.11284772
13073,no_highschool_share,0.087033212
13189,no_highschool_share,0.25361809
37131,no_highschool_share,0.27135548
37115,no_highschool_share,0.19153598
48405,no_highschool_share,0.22809501
48313,no_highschool_share,0.21248309
